Symbol,Name,Industry,Market Cap
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1965185920
ADRA,Adara Acquisition,Blank Check / SPAC,142025000
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,124625000
ADS,Alliance Data Systems,IT Services,2804585983
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,420724089
ADSK,Autodesk,Software,47151210406
ADT,ADT Inc.,Commercial Services & Supplies,6914945529
ADTH,AdTheorent Holding Company,Advertising Agencies,843720960
ADTN,ADTRAN,Communications Equipment,909858096
ADTX,Aditx,Biotechnology,20086000
ADUS,Addus HomeCare,Health Care Providers & Services,1488161986
ADV,Advantage Solutions,Advertising Agencies,2029586428
ADVM,Adverum Biotechnologies,Biotechnology,129363415
ADXN,Addex Therapeutics,Biotechnology,35987431
ADXS,Advaxis,Biotechnology,17279947
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",168119316
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,293999990
AEAE,AltEnergy Acquisition,Blank Check / SPAC,286062490
AEE,Ameren,Multi-Utilities,24198707138
AEG,Aegon,Insurance,10571536380
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133440250
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,8130195
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,272712667
AEI,Alset EHome International,Real Estate-Development,46261280
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3233052896
AEL,American Equity Investment Life Holding Company,Insurance,3869242611
AEM,Agnico Eagle Mines,Metals & Mining,27900149717
AEMD,Aethlon Medical,Health Care Equipment & Supplies,22495972
AENZ,Aenza,Engineering & Construction,298388160
AEO,American Eagle Outfitters,Specialty Retail,2836545532
AEP,American Electric Power Company,Electric Utilities,50338652094
AER,AerCap Holdings,Trading Companies & Distributors,12338460650
AERC,AeroClean Technologies,Pollution & Treatment Controls,49959360
AERI,Aerie Pharmaceuticals,Pharmaceuticals,440366299
AES,The AES Corporation,Independent Power and Renewable Elect...,17172073452
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",67519775
AEVA,Aeva Technologies,Auto Parts,935254015
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18110447
AEYE,AudioEye,Software,77889375
AEZS,AEterna Zentaris,Biotechnology,44625535
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,215409365
AFAQ,AF Acquisition,Blank Check / SPAC,273280000
AFBI,Affinity Bancshares,Banks,104252973
AFCG,AFC Gamma,REIT-Specialty,377484248
AFG,American Financial Group,Insurance,12367826818
AFI,Armstrong Flooring,Building Products,31144825
AFIB,Acutus Medical,Medical Devices,38854531
AFL,Aflac,Insurance,41812803523
AFMD,Affimed,Biotechnology,523512863
AFRM,Affirm Holdings,IT Services,13164668895
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302500000
AFYA,Afya Limited,Diversified Consumer Services,1343036410
AG,First Majestic Silver,Metals & Mining,3423995133
AGAC,African Gold Acquisition,Blank Check / SPAC,507667519
AGBA,AGBA Acquisition,Blank Check / SPAC,56041167
AGCB,Altimeter Growth 2,Blank Check / SPAC,573979000
AGCO,AGCO Corporation,Machinery,10885296121
AGE,AgeX Therapeutics,Biotechnology,32403405
AGEN,Agenus,Biotechnology,632598847
AGFS,AgroFresh Solutions,Chemicals,99593054
AGFY,Agrify,Machinery,114811503
AGGR,Agile Growth,Blank Check / SPAC,378974970
AGI,Alamos Gold,Metals & Mining,3299713791
AGIL,AgileThought,Software-Application,228774910
AGIO,Agios Pharmaceuticals,Biotechnology,1590497654
AGL,agilon health,Medical Care Facilities,10169862122
AGLE,Aeglea Biotherapeutics,Biotechnology,113532823
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1169544576
AGM.A,Federal Agricultural Mortgage,Credit Services,1197248236
AGMH,AGM Group Holdings,Capital Markets,50449984
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6847894013
AGO,Assured Guaranty,Insurance,4181914587
AGR,Avangrid,Electric Utilities,18068656093
AGRI,AgriFORCE Growing Systems,Farm Products,46744236
AGRO,Adecoagro,Food Products,1361307255
AGRX,Agile Therapeutics,Pharmaceuticals,25662074
AGS,PlayAGS,"Hotels, Restaurants & Leisure",246575886
AGTC,Applied Genetic Technologies,Biotechnology,53770071
AGTI,Agiliti,Health Information Services,2766210042
AGX,Argan,Construction & Engineering,637859632
AGYS,Agilysys,Software,985606323
AHCO,AdaptHealth,Health Care Providers & Services,2146561398
AHG,Akso Health Group,Credit Services,82557519
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1284005760
AHI,Advanced Human Imaging,Software-Application,36555466
AHPA,Avista Public Acquisition II,Blank Check / SPAC,289800000
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,12883463
AHRN,Ahren Acquisition,Blank Check / SPAC,371998016
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,369743869
AI,C3.ai,Software,2455050490
AIB,AIB Acquisition,Blank Check / SPAC,111171736
AIG,American International Group,Insurance,50608185327
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,38181403
AIHS,Senmiao Technology,Consumer Finance,14216452
AIKI,AIkido Pharma,Biotechnology,40182027
AIM,AIM ImmunoTech,Biotechnology,49286391
AIMC,Altra Industrial Motion,Machinery,2532750840
AIN,Albany International,Machinery,2686443463
AINC,Ashford,Capital Markets,53967020
AINV,Apollo Investment,Capital Markets,841415997
AIP,Arteris,Semiconductors,410919613
AIR,AAR Corp.,Aerospace & Defense,1704576084
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,8999937005
AIRG,Airgain,"Electronic Equipment, Instruments & C...",77221242
AIRI,Air Industries Group,Aerospace & Defense,26869753
AIRS,AirSculpt Technologies,Medical Care Facilities,761157949
AIRT,Air T,Air Freight & Logistics,65450589
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3947944392
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1116709883
AIZ,Assurant,Insurance,10493118372
AJG,Arthur J. Gallagher & Company,Insurance,36598603701
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3169414112
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,271541277
AKA,a.k.a. Brands Holding,Internet Retail,568624190
AKAM,Akamai Technologies,IT Services,19143829404
AKAN,Akanda,Drug Manufacturers-Specialty & Generic,229490606
AKBA,Akebia Therapeutics,Biotechnology,130105735
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290570809
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1953622527
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2146351996
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2142424183
AKRO,Akero Therapeutics,Biotechnology,496833022
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",355370587
AKTX,Akari Therapeutics,Pharmaceuticals,62289963
AKU,Akumin,Diagnostics & Research,98819967
AKUS,Akouos,Biotechnology,163846029
AKYA,Akoya Biosciences,Medical Instruments & Supplies,411853525
AL,Air Lease,Trading Companies & Distributors,5101217760
ALAC,Alberton Acquisition,Blank Check / SPAC,53985446
ALB,Albemarle,Chemicals,25899317030
ALBO,Albireo Pharma,Biotechnology,577565477
ALC,Alcon,Medical Instruments & Supplies,38878601154
ALCC,AltC Acquisition,Blank Check / SPAC,624152000
ALCO,Alico,Food Products,283405599
ALDX,Aldeyra Therapeutics,Biotechnology,258250063
ALE,ALLETE,Electric Utilities,3570368966
ALEC,Alector,Biotechnology,1169067135
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1685458545
ALF,"ALFI, Inc.",Software-Infrastructure,26525852
ALG,Alamo Group,Machinery,1716363570
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,5393557486
ALGN,Align Technology,Health Care Equipment & Supplies,34354839308
ALGS,Aligos Therapeutics,Biotechnology,91792319
ALGT,Allegiant Travel Company,Airlines,2941207517
ALHC,Alignment Healthcare,Health Care Providers & Services,2100762365
ALIM,Alimera Sciences,Pharmaceuticals,39158840
ALIT,Alight,Software-Application,5387248121
ALJJ,ALJ Regional Holdings,IT Services,111111045
ALK,Alaska Air Group,Airlines,7314306521
ALKS,Alkermes,Biotechnology,4261404153
ALKT,Alkami Technology,Software-Application,1291064055
ALL,The Allstate Corporation,Insurance,38553702382
ALLE,Allegion,Building Products,9685932982
ALLG,Allego,Auto Parts,4012001280
ALLK,Allakos,Biotechnology,311738682
ALLO,Allogene Therapeutics,Biotechnology,1300470647
ALLR,Allarity Therapeutics,Biotechnology,16474670
ALLT,Allot,Software,296029080
ALLY,Ally Financial,Consumer Finance,14487361514
